,roundTime,rawDate,state,approx_state
63341,9/14/2005 11:15,9/14/2005 11:10,0,0
63342,9/14/2005 11:30,NA,NA,0
63343,9/14/2005 11:45,NA,NA,0
63344,9/14/2005 12:00,NA,NA,0
63345,9/14/2005 12:15,NA,NA,0
63346,9/14/2005 12:30,NA,NA,0
63347,9/14/2005 12:45,NA,NA,0
63348,9/14/2005 13:00,NA,NA,0
63349,9/14/2005 13:15,NA,NA,0
63350,9/14/2005 13:30,NA,NA,0
63351,9/14/2005 13:45,NA,NA,0
63352,9/14/2005 14:00,NA,NA,0
63353,9/14/2005 14:15,NA,NA,0
63354,9/14/2005 14:30,NA,NA,0
63355,9/14/2005 14:45,NA,NA,0
63356,9/14/2005 15:00,NA,NA,0
63357,9/14/2005 15:15,NA,NA,0
63358,9/14/2005 15:30,NA,NA,0
63359,9/14/2005 15:45,NA,NA,0
63360,9/14/2005 16:00,NA,NA,0
63361,9/14/2005 16:15,NA,NA,0
63362,9/14/2005 16:30,NA,NA,0
63363,9/14/2005 16:45,NA,NA,0
63364,9/14/2005 17:00,NA,NA,0
63365,9/14/2005 17:15,NA,NA,0
63366,9/14/2005 17:30,NA,NA,0
63367,9/14/2005 17:45,NA,NA,0
63368,9/14/2005 18:00,NA,NA,0
63369,9/14/2005 18:15,NA,NA,0
63370,9/14/2005 18:30,NA,NA,0
63371,9/14/2005 18:45,NA,NA,0
63372,9/14/2005 19:00,NA,NA,0
63373,9/14/2005 19:15,NA,NA,0
63374,9/14/2005 19:30,NA,NA,0
63375,9/14/2005 19:45,NA,NA,0
63376,9/14/2005 20:00,NA,NA,0
63377,9/14/2005 20:15,NA,NA,0
63378,9/14/2005 20:30,NA,NA,0
63379,9/14/2005 20:45,NA,NA,0
63380,9/14/2005 21:00,NA,NA,0
63381,9/14/2005 21:15,NA,NA,0
63382,9/14/2005 21:30,NA,NA,0
63383,9/14/2005 21:45,NA,NA,0
63384,9/14/2005 22:00,NA,NA,0
63385,9/14/2005 22:15,NA,NA,0
63386,9/14/2005 22:30,NA,NA,0
63387,9/14/2005 22:45,NA,NA,0
63388,9/14/2005 23:00,NA,NA,0
63389,9/14/2005 23:15,NA,NA,0
63390,9/14/2005 23:30,NA,NA,0
63391,9/14/2005 23:45,NA,NA,0
63392,9/15/2005 0:00,NA,NA,0
63393,9/15/2005 0:15,NA,NA,0
63394,9/15/2005 0:30,NA,NA,0
63395,9/15/2005 0:45,NA,NA,0
63396,9/15/2005 1:00,NA,NA,0
63397,9/15/2005 1:15,NA,NA,0
63398,9/15/2005 1:30,NA,NA,0
63399,9/15/2005 1:45,NA,NA,0
63400,9/15/2005 2:00,NA,NA,0
63401,9/15/2005 2:15,NA,NA,0
63402,9/15/2005 2:30,NA,NA,0
63403,9/15/2005 2:45,NA,NA,0
63404,9/15/2005 3:00,NA,NA,0
63405,9/15/2005 3:15,NA,NA,0
63406,9/15/2005 3:30,NA,NA,0
63407,9/15/2005 3:45,NA,NA,0
63408,9/15/2005 4:00,NA,NA,0
63409,9/15/2005 4:15,NA,NA,0
63410,9/15/2005 4:30,NA,NA,0
63411,9/15/2005 4:45,NA,NA,0
63412,9/15/2005 5:00,NA,NA,0
63413,9/15/2005 5:15,NA,NA,0
63414,9/15/2005 5:30,NA,NA,0
63415,9/15/2005 5:45,NA,NA,0
63416,9/15/2005 6:00,NA,NA,0
63417,9/15/2005 6:15,NA,NA,0
63418,9/15/2005 6:30,NA,NA,0
63419,9/15/2005 6:45,NA,NA,0
63420,9/15/2005 7:00,NA,NA,0
63421,9/15/2005 7:15,NA,NA,0
63422,9/15/2005 7:30,NA,NA,0
63423,9/15/2005 7:45,NA,NA,0
63424,9/15/2005 8:00,NA,NA,0
63425,9/15/2005 8:15,NA,NA,0
63426,9/15/2005 8:30,NA,NA,0
63427,9/15/2005 8:45,NA,NA,0
63428,9/15/2005 9:00,NA,NA,0
63429,9/15/2005 9:15,NA,NA,0
63430,9/15/2005 9:30,NA,NA,0
63431,9/15/2005 9:45,NA,NA,0
63432,9/15/2005 10:00,NA,NA,0
63433,9/15/2005 10:15,NA,NA,0
63434,9/15/2005 10:30,NA,NA,0
63435,9/15/2005 10:45,NA,NA,0
63436,9/15/2005 11:00,NA,NA,0
63437,9/15/2005 11:15,NA,NA,0
63438,9/15/2005 11:30,NA,NA,0
63439,9/15/2005 11:45,NA,NA,0
63440,9/15/2005 12:00,NA,NA,0
63441,9/15/2005 12:15,NA,NA,0
63442,9/15/2005 12:30,NA,NA,0
63443,9/15/2005 12:45,NA,NA,0
63444,9/15/2005 13:00,NA,NA,0
63445,9/15/2005 13:15,NA,NA,0
63446,9/15/2005 13:30,NA,NA,0
63447,9/15/2005 13:45,NA,NA,0
63448,9/15/2005 14:00,NA,NA,0
63449,9/15/2005 14:15,NA,NA,0
63450,9/15/2005 14:30,NA,NA,0
63451,9/15/2005 14:45,NA,NA,0
63452,9/15/2005 15:00,NA,NA,0
63453,9/15/2005 15:15,NA,NA,0
63454,9/15/2005 15:30,NA,NA,0
63455,9/15/2005 15:45,NA,NA,0
63456,9/15/2005 16:00,NA,NA,0
63457,9/15/2005 16:15,NA,NA,0
63458,9/15/2005 16:30,NA,NA,0
63459,9/15/2005 16:45,NA,NA,0
63460,9/15/2005 17:00,NA,NA,0
63461,9/15/2005 17:15,NA,NA,0
63462,9/15/2005 17:30,NA,NA,0
63463,9/15/2005 17:45,NA,NA,0
