point,location,rawDate,state
830,LM2,9/14/2005 14:07,0
831,LM2,10/13/2005 11:06,1
832,LM2,10/13/2005 12:11,0
833,LM2,10/22/2005 2:19,1
834,LM2,10/28/2005 15:31,0
835,LM2,11/14/2005 18:53,1
836,LM2,11/20/2005 17:33,0
837,LM2,11/29/2005 2:47,1
838,LM2,12/21/2005 2:28,0
839,LM2,12/21/2005 10:51,1
840,LM2,12/22/2005 1:40,0
841,LM2,12/22/2005 9:03,1
842,LM2,12/23/2005 5:16,0
843,LM2,12/23/2005 9:47,1
844,LM2,8/6/2006 16:50,0
845,LM2,8/7/2006 8:29,1
846,LM2,8/10/2006 18:30,0
847,LM2,8/10/2006 19:46,1
848,LM2,8/18/2006 2:02,0
849,LM2,8/18/2006 19:55,1
850,LM2,8/25/2006 1:17,0
851,LM2,8/28/2006 14:11,1
852,LM2,8/29/2006 10:29,1
