point,location,rawDate,state
40,FC4,11/24/2003 16:12,0
41,FC4,11/28/2003 13:47,1
42,FC4,11/28/2003 20:46,0
43,FC4,12/5/2003 15:24,1
44,FC4,12/10/2003 12:52,0
45,FC4,12/10/2003 14:22,1
46,FC4,12/12/2003 2:15,0
47,FC4,12/14/2003 6:34,1
48,FC4,12/20/2003 7:28,0
49,FC4,12/21/2003 15:50,1
50,FC4,1/11/2004 23:48,1
51,FC4,1/12/2004 14:44,0
52,FC4,1/18/2004 4:51,1
53,FC4,2/16/2004 8:13,0
54,FC4,2/16/2004 19:59,1
55,FC4,2/17/2004 3:37,0
56,FC4,2/17/2004 7:07,1
57,FC4,2/17/2004 9:45,0
58,FC4,3/5/2004 21:28,1
59,FC4,5/30/2004 14:52,1
60,FC4,5/30/2004 15:00,Missing data
61,FC4,9/15/2004 11:43,0
62,FC4,9/15/2004 12:00,Missing data
916,FC4,9/14/2005 11:10,0
917,FC4,1/17/2006 18:52,1
918,FC4,1/17/2006 22:13,0
919,FC4,1/23/2006 2:17,1
920,FC4,1/23/2006 16:17,0
921,FC4,3/13/2006 21:26,1
922,FC4,3/14/2006 7:02,0
923,FC4,4/7/2006 17:27,1
924,FC4,4/9/2006 19:05,0
925,FC4,4/19/2006 8:53,1
926,FC4,4/19/2006 15:50,0
927,FC4,4/22/2006 1:47,1
928,FC4,4/22/2006 22:35,0
929,FC4,6/25/2006 13:08,1
930,FC4,6/25/2006 14:23,0
931,FC4,7/5/2006 11:33,1
932,FC4,7/6/2006 0:48,0
933,FC4,8/29/2006 13:00,0
